"Time","ADCS Time Valid"
2022-06-30 03:00:00,true
2022-07-07 03:00:00,true
2022-07-14 03:00:00,true
2022-07-21 03:00:00,true
2022-07-28 03:00:00,true
2022-08-04 03:00:00,true
2022-08-11 03:00:00,true
2022-08-18 03:00:00,true
2022-08-25 03:00:00,true
2022-09-01 03:00:00,true
2022-09-08 03:00:00,true
2022-09-15 03:00:00,true
2022-09-22 03:00:00,true
2022-09-29 03:00:00,true
2022-10-06 03:00:00,true
2022-10-13 03:00:00,true
2022-10-20 03:00:00,true
2022-10-27 03:00:00,true
2022-11-03 03:00:00,true
2022-11-10 03:00:00,true
2022-11-17 03:00:00,true
2022-11-24 03:00:00,true
2022-12-01 03:00:00,true
2022-12-08 03:00:00,true
2022-12-15 03:00:00,true
2022-12-22 03:00:00,true
2022-12-29 03:00:00,true
2023-01-05 03:00:00,true
2023-01-12 03:00:00,true
2023-01-19 03:00:00,true
2023-01-26 03:00:00,true
2023-02-02 03:00:00,true
2023-02-09 03:00:00,true
2023-02-16 03:00:00,true
2023-02-23 03:00:00,true
2023-03-02 03:00:00,true
2023-03-09 03:00:00,true
2023-03-16 03:00:00,true
2023-03-23 03:00:00,true
2023-03-30 03:00:00,true
2023-04-06 03:00:00,true
2023-04-13 03:00:00,true
2023-04-20 03:00:00,true
2023-04-27 03:00:00,true
2023-05-04 03:00:00,true
2023-05-11 03:00:00,true
2023-05-18 03:00:00,true
2023-05-25 03:00:00,true
2023-06-01 03:00:00,true
2023-06-08 03:00:00,true
2023-06-15 03:00:00,true
2023-06-22 03:00:00,true
2023-06-29 03:00:00,true
2023-07-06 03:00:00,true
2023-07-13 03:00:00,true
2023-07-20 03:00:00,true
2023-07-27 03:00:00,true
2023-08-03 03:00:00,true
2023-08-10 03:00:00,true
2023-08-17 03:00:00,true
2023-08-24 03:00:00,true
2023-08-31 03:00:00,true
2023-09-07 03:00:00,true
2023-09-14 03:00:00,true
2023-09-21 03:00:00,true
2023-09-28 03:00:00,true
2023-10-05 03:00:00,true
2023-10-12 03:00:00,true
2023-10-19 03:00:00,true
2023-10-26 03:00:00,true
2023-11-02 03:00:00,true
2023-11-09 03:00:00,true
2023-11-16 03:00:00,true
2023-11-23 03:00:00,true
2023-11-30 03:00:00,true

